fault_id,rank,category,cmdb_id,index
1,0,docker,docker_003,container_mem_used
1,1,docker,docker_003,container_cpu_used
2,0,docker,docker_002,
3,0,docker,docker_001,
4,0,docker,docker_004,container_cpu_used
4,1,docker,docker_004,container_thread_idle
5,0,db,db_007,MEM_Used_Pct
5,1,db,db_007,MEM_Used
6,0,docker,docker_002,container_cpu_used
6,1,docker,docker_002,container_mem_used
7,0,docker,docker_003,
8,0,docker,docker_005,container_cpu_used
8,1,docker,docker_005,container_session_used
9,0,docker,docker_008,
10,0,docker,docker_008,container_cpu_used
10,1,docker,docker_001,container_session_used
11,0,db,db_003,MEM_Used
11,1,db,db_003,MEM_real_util
